id,type_id,name,description,description2,review,viewed,published_date,slug,cbd,cbn,cbc,thc,thcv,imported,hasocs,rating,URL,leafly,lift.co,wikileaf
1582,3,White Widow,"One of the most famous strains in the world, White Widow is a balanced hybrid first bred in the Netherlands. A cross between Brazilian sativa landrace and resin heavy South Indian indica, it has been on the menu of many Dutch coffee shops. A relatively new strain which was developed in 1990s, the buds of this strain are covered in crystals giving it an almost sugary look. This strain provides the user with a buzz of euphoria and energy breakthroughs stimulating creativity and conversation. The genetics of this particular strain is known to have helped originate many other legendary strains though many harvesters prefer the original White Widow which has a flowering time of about 60 days indoors.","Among the most famous strains worldwide is White Widow, a balanced hybrid first bred in the Netherlands by Green House Seeds. A cross between a Brazilian sativa landrace and a resin-heavy South Indian indica, &nbsp;White Widow has blessed every Dutch coffee shop menu since its birth in the 1990s. Its buds are white with crystal resin, warning you of the potent effects to come. A powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. White Widow&rsquo;s genetics have given rise to many other legends like White Russian, White Rhino, and Blue Widow. Still, many growers prefer cultivation of the original White Widow, which flowers in about 60 days indoors.",4,776,0000-00-00,white-widow,0.54,0.14,0.03,14.46,0,1,1,4.65,https://canbii.com/strains/white-widow,https://www.leafly.com/hybrid/white-widow?q=white-widow&cat=strain https://www.leafly.com/products/details/mainland-cannabis-white-widow?q=white-widow&cat=product https://www.leafly.com/products/details/weedup-white-widow?q=white-widow&cat=product https://www.leafly.com/products/details/redecan-white-widow?q=white-widow&cat=product,https://lift.co/strains/canaca-white-widow,
1704,1,Argyle,Argyle is an indica-dominant strain with a balanced THC-to-CBD ratio. Its verdant green buds are quite dense and are accented by orange hairs. The terpene myrcene is responsible for Argyle's earthy aroma.,"Argyle is a variety of Nordle grown by Canadian LP Tweed, Inc. The indica-dominant hybrid crosses Afghani and Sensi Star genetics. The resulting buds smell of garlic and herbs, like fresh cut chives but with a fruity aftertaste. With a 1:1 ratio of THC to CBD Argyle creates a mellow, calming buzz that is a great answer to body pains and muscle spasms.",1,8,0000-00-00,argyle,,0,0,,0,1,1,3.90875,https://canbii.com/strains/argyle,https://www.leafly.com/indica/argyle?cat=strain https://www.leafly.com/products/details/tweed-argyle-flower?q=argyle&cat=product https://www.leafly.com/products/details/tweed-argyle-oil?q=argyle&cat=product https://www.leafly.com/products/details/tweed-argyle-softgels?q=argyle&cat=product,https://lift.co/strains/tweed-argyle,
1729,1,Bakerstreet,The Bakerstreet cultivar is an indica-dominant THC strain. Its dense and deep green buds are highlighted with ochre-hued pistils and covered with trichomes. Terpinolene is the terpene which gives this strain its scent of juniper.,"Bakerstreet is a variety of Hindu Kush grown by Canadian LP Tweed. It is a pure indica with origins in the Hindu Kush mountain range. The subtle sweet and earthy sandalwood aroma of Bakerstreet induces a deep sense of calm that helps bring relief to those suffering pain, nausea, and stress disorders. Its heavy body effects make it a top strain to help you relax and unwind at the end of a long day.&nbsp;",,11,0000-00-00,bakerstreet,,0,0,,0,1,1,0,https://canbii.com/strains/bakerstreet,https://www.leafly.com/indica/bakerstreet?cat=strain https://www.leafly.com/products/details/tweed-bakerstreet-flower?q=bakerstreet&cat=product https://www.leafly.com/products/details/tweed-bakerstreet-oil?q=bakerstreet&cat=product https://www.leafly.com/products/details/tweed-bakerstreet-softgel?q=bakerstreet&cat=product,https://lift.co/strains/tweed-bakerstreet,
1735,2,Banana Split,"Hanging out close to the middle, the banana split strain is a hybrid with a bit of indica dominence. It will hit you fast, and make you hungry. This strain is perfect for hanging out on the couch or some light productivity. Of course, as the name suggests, this strain will taste just like a dessert with a bit of a tangy after-taste. Expect to embrace happiness.","Bred by Crockett Farms, Banana Split is a sativa-dominant cross of their famous Tangie and Banana Sherbert. Banana Split offers a clean level-headed high suitable for anyone looking to have a productive day. Growers can expect large buds with oversized frosty colas that host a Tangie-derived citrus aroma alongside sweet flavors from Banana Sherbet.&nbsp; &nbsp;",,4,0000-00-00,banana-split,1,0,0,20,0,1,1,0,https://canbii.com/strains/banana-split,https://www.leafly.com/hybrid/banana-split?cat=strain https://www.leafly.com/products/details/dream-city-banana-split?q=banana-split&cat=product https://www.leafly.com/products/details/tall-tree-society-banana-split?q=banana-split&cat=product https://www.leafly.com/products/details/aurora-cannabis-inc-banana-split?q=banana-split&cat=product https://www.leafly.com/products/details/aroma-banana-split?q=banana-split&cat=product https://www.leafly.com/products/details/purehempshop-banana-split-e-liquid-150mg?q=banana-split&cat=product https://www.leafly.com/products/details/3c-farms-banana-split-og?q=banana-split&cat=product,https://lift.co/strains/aurora-recreational-banana-split,https://www.wikileaf.com/strain/banana-split/
2265,1,GSC,"What happens when you mix OG Kush and Durban Poison? You get GSC or ""Girl Scout Cookies."" Don't let the friendly name fool you, this hybrid strain will send you flying into euphoria and relaxation. This award winning strain tastes sweet and earthy with a strong spicy aroma.","GSC, formerly&nbsp;known as Girl Scout Cookies,&nbsp;is an OG Kush&nbsp;and Durban Poison hybrid cross whose reputation grew too large to stay within the borders of its California homeland. With a sweet and earthy aroma, GSC launches you to euphoria&rsquo;s top floor where full-body relaxation meets a time-bending cerebral space. A little goes a long way with this hybrid, whose THC heights have won GSC numerous Cannabis Cup awards. Patients needing a strong dose of relief, however, may look to GSC for severe pain, nausea, and appetite loss. There are several different phenotypes of the GSC strain including Thin Mint and Platinum Cookies, which exhibit some variation in appearance and effect. Typically, however, GSC expresses its beauty in twisting green calyxes wrapped in purple leaves and fiery orange hairs. Patients and consumers looking to cultivate this cannabis staple themselves should wait 9 to 10 weeks for their indoor plants to finish flowering.",,13,0000-00-00,gsc,1,0,0,22,0,1,1,0,https://canbii.com/strains/gsc,https://www.leafly.com/hybrid/gsc?q=gsc&cat=strain https://www.leafly.com/products/details/experience-cbd-thick-liq-gsc-gsc-fka-girl-scout-cookies-600mg?q=gsc&cat=product https://www.leafly.com/products/details/alpine-vapor-alpine-vapor-gsc-premium-cannabis-oil-cartridge-1g?q=gsc&cat=product,https://lift.co/strains/canna-farms-gsc,https://www.wikileaf.com/strain/girl-scout-cookies/
2716,1,Moonbeam,"If you're ready for bed, what better way to help you relax than a beam from the moon? The Moonbeam strain is an explosive indica that packs a lot of punch. We like to call this the ""lullaby"" strain as it will get you relaxed and feeling good. It will taste like a fruity tea - also the perfect flavour for bedtime!","Grown by Canadian LP Leafs By Snoop, Moonbeam is an extremely potent indica strain with high THC content. Expect flavors to be fruity and sweety with earthy undertones. Consumers seek this strain for relief of insomnia and anxiety, as its potency can be a one-way ticket to an early bedtime.",,4,0000-00-00,moonbeam,0,0,0,0,0,1,1,0,https://canbii.com/strains/moonbeam,https://www.leafly.com/indica/moonbeam,https://lift.co/strains/lbs-moonbeam,
3182,0,Sunset,"When it's not quite bed-time, a moderate indica might be your best bet. The Sunset strain is perfect for relaxing after a long day without leaving the planet or falling asleep right away. The flavour profile for Sunset is spicy with a smooth woody finish.","Grown by Canadian LP Leafs By Snoop, Sunset is a THC powerhouse with heavily physical effects. Expect buds to be dark green in color with heavy trichome production. Flavors are earthy and spicy, bringing about euphorically sedative effects. Lovers of couchlock strains or any patients seeking relief from anxiety and/or pain should definitely give Sunset a try.&nbsp;",2,12,0000-00-00,sunset,12,0,0,17,0,1,1,3.59,https://canbii.com/strains/sunset,https://www.leafly.com/indica/sunset?cat=strain https://www.leafly.com/products/details/lbs-sunset?q=sunset&cat=product https://www.leafly.com/products/details/lbs-sunset-25-mg-capsules?q=sunset&cat=product,https://lift.co/strains/lbs-sunset,https://www.wikileaf.com/strain/sunset-sherbet/
3324,0,Ultra Sour,"A hybrid with indica dominence, Ultra Sour combines MK Ultra and East Coast Sour Diesel. This strain has been known to be perfect for vaping since its got a ton of THC and a fairly unique flavour. Expect this to be sweet and sour, with a underlying pine and earthy profile. Oh, almost forgot, Ultra Sour will make you REALLY HAPPY.","Ultra Sour by THSeeds is a tart cross out of Amsterdam. This strain is the product of crossing MK Ultra and East Coast Sour Diesel, creating a sativa-dominant bud with uplifting stimulation and heady euphoria. Ultra Sour smells of pine and diesel, and its buds are deep green with rusty orange pistils. The potent mental effects can be a little daunting for inexperienced consumers, so mind your dosage. Enjoy Ultra Sour as a means to shrug off&nbsp;stress and enhance creativity. &nbsp;",,12,0000-00-00,ultra-sour,0.1,0,0,22.3,0,1,1,0,https://canbii.com/strains/ultra-sour,https://www.leafly.com/products/details/seven-oaks-ultra-sour?q=ultra-sour&cat=product https://www.leafly.com/products/details/namaste-ultra-sour?q=ultra-sour&cat=product https://www.leafly.com/sativa/ultra-sour?q=ultra-sour&cat=strain,https://lift.co/strains/zenabis-ultra-sour,
3532,1,50,"We love 50. This strain has indica dominence, but is still a hybrid. It's been known to be ""medium"" strength, with moderate THC levels. 50 shouldn't make you feel drowsy, but will still let you relax your mind, body, and soul. When you finally do make it to bed, you'll be sure to get a good night's sleep. Sweet, with a touch of citrus and a bit of pine, this strain resembles a fine wine.","A classic hybrid (with a 55:45 ratio of sativa to indica), 50 has strong THC potency. It is grown in Up CannabisÃ¢â‚¬â„¢s FiddlerÃ¢â‚¬â„¢s Greenhouse in Niagara, Ont., where itÃ¢â‚¬â„¢s hand-trimmed, sorted and hang-dried. Its terpene profile is highlighted by alpha-pinene (also found in resins of pine and other conifers, rosemary and sage), which gives it its strong piney, earthy aroma with woodsy undertones. ItÃ¢â‚¬â„¢s available in 1 g and 3.5 g packages.",,9,0000-00-00,50,0,0,0,0,0,1,1,0,https://canbii.com/strains/50,,,
3533,1,Airplane Mode,"Why is Airplane Mode so expensive? This strain is grown with great care - hand trimmed and hang dried. It's a medium potency indica that is perfect for the evenings and will leave you happy and relaxed. If you're not looking for a strain that will knock you out, this might be the perfect choice. The flavour isn't too strong, but you can expect to taste/smell flowers and trees.","Airplane Mode from AltaVie is hand-trimmed and hang-dried. This indoor-grown indica-dominant strain has medium THC potency and a woody and earthy aroma created by the myrcene, beta-pinene and terpinolene in its terpene mix. ItÃ¢â‚¬â„¢s available in 1 g, 3.5 g and 7 g dried flower varieties.",,3,0000-00-00,airplane-mode,0,0,0,16,0,1,1,0,https://canbii.com/strains/airplane-mode,https://www.leafly.com/products/details/altavie-airplane-mode?q=airplane-mode&cat=product,https://lift.co/strains/altavie-airplane-mode,
3535,1,Balanced,"MILD. This strain is suitable for beginners that are looking for a subtle and very tolerable high. It's an indica, but it won't leave you burnt out when it wears off. At the price, it is a good value for anyone looking to explore how legalized cannabis may be a new part of their lifestyle. Not recommended for highly experienced users that are looking for strong effects.","This indica-dominant hybrid strain from Plain Packaging is greenhouse-grown and has very mild THC potency. Its green buds are accented by orange hairs, and its myrcene terpene profile (which is also present in hops and thyme) produces an earthy, clove-like aroma. ItÃ¢â‚¬â„¢s available in various dried flower sizes.",,2,0000-00-00,balanced,13,0,0,13,0,1,1,0,https://canbii.com/strains/balanced,,https://lift.co/strains/plain-packaging-balanced,
3536,1,Balanced Milled,"MILD and MILLED. This strain is suitable for beginners that are looking for a subtle and very tolerable high - bonus: it's pre-grinded for your convenience. It's an indica, but it won't leave you burnt out when it wears off. At the price, it is a good value for anyone looking to explore how legalized cannabis may be a new part of their lifestyle. Not recommended for highly experienced users that are looking for strong effects.","Plain PackagingÃ¢â‚¬â„¢s milled indica-dominant hybrid strain is greenhouse-grown and has very mild THC potency. This conveniently pre-ground flower is accented by orange hairs, and its myrcene terpene profile (which is also present in hops and thyme) produces an earthy, clove-like aroma. ItÃ¢â‚¬â„¢s available in various dried flower sizes.",,1,0000-00-00,balanced-milled,13,0,0,13,0,1,1,0,https://canbii.com/strains/balanced-milled,,https://lift.co/strains/plain-packaging-plain-packaging-balanced-milled,
3537,2,Cabaret,"If you're a fan of day-drinking, you'll like Cabaret. This is a very strong sativa dominent strain that is hand-trimmed and hang dried. It's definitely a premium strain at the price, but it's packaged perfectly and might just be worth the price. Expect a lot of energy and uplifting feeling, suitable for a fun day off. It's been known to have a sweet, grapefruit flavour and a strong aroma. This strain is perfect for high-energy activities.","Cabaret from Alta Vie is a sativa-dominant strain with a sweet aroma and hints of grapefruit, and very strong THC potency. It is grown, hand-trimmed and hang-dried indoors, and has a terpene mix that includes terpinolene for fruitiness. ItÃ¢â‚¬â„¢s available in 1 g, 3.5 g and 7 g dried flower varieties.",,4,0000-00-00,cabaret,0,0,0,20.3,0,1,1,0,https://canbii.com/strains/cabaret,https://www.leafly.com/products/details/altavie-cabaret?q=cabaret&cat=product,https://lift.co/strains/altavie-cabaret,
3538,3,Campfire,"A hybrid strain with tons of aroma, Campfire offers mild potency but tons of CBD. What does that mean for you? Expect a body buzz without a headache. Most of the mental effects will be fairly minimal, but you will still be entitled to a bit of nostalgia. It's better suited for the evenings, but it can be enjoyed at any time since it won't knock you off balance. Lots of rich flowers as far as flavour and aroma goes without too much of an after-taste.","Campfire from AltaVie is a hybrid strain that is grown, hand-trimmed and hang-dried indoors. Its terpene profile, consisting of myrcene, alpha- and beta-pinene, and guaiol, is what gives it its unique floral aroma. It has very mild THC potency and is available in 1 g, 3.5 g and 7 g dried flower varieties.",,1,0000-00-00,campfire,7.3,0,0,4.6,0,1,1,0,https://canbii.com/strains/campfire,https://www.leafly.com/products/details/altavie-campfire?q=campfire&cat=product,https://lift.co/strains/altavie-campfire,
3539,1,Casablanca,"Casablanca is pretty strong stuff. It's not great for beginners unless you're looking for a really strong buzz. It's indica dominence makes it better for evening use or just before bed. It's not overly euphoric, but it will give you quite a bit of relaxation and have minimal side effects. The flavour profile is fairly mild with some citrus and a nice fresh aroma.","Indica-dominant Casablanca from Edison is a bold indoor-grown and machine-trimmed strain featuring plush, rich forest green flowers with hints of orange, tightly woven buds and an earthy, fresh aroma from the alpha-pinene and myrcene in its terpene mix. It has strong THC potency and is available in four dried flower weights: 1 g, 3.5 g, 7 g and 15 g.",,1,0000-00-00,casablanca,0.2,0,0,20,0,1,1,0,https://canbii.com/strains/casablanca,https://www.leafly.com/products/details/edison-cannabis-co-edison-casablanca?q=casablanca&cat=product https://www.leafly.com/products/details/edison-cannabis-co-edison-casa-blanca-pre-roll?q=casablanca&cat=product https://www.leafly.com/products/details/edison-cannabis-co-edison-casablanca-reserve?q=casablanca&cat=product,https://lift.co/strains/edison-cannabis-co-casablanca,
3541,3,City Lights,"City lights is potent, but also extremely calming. This indica strain packs a lot of THC, and won't require you to use a whole lot to get the job done. Expect an overall relaxing effect with a slight body buzz. Once your high wears off, this strain will likely put you right to bed as the increased potency can create a bit of burn-out. The taste isn't very strong, but you will get some spice and earthy notes on the tip of your tongue.","Indica-dominant City Lights from Edison is a bold indoor-grown strain recognized by its lush bud structure and vibrant jade colour. Its freshness, earthiness and sweetness come from the myrcene and humulene in its terpene mix. It has very strong THC potency and is available in four dried flower weights: 1 g, 3.5 g, 7 g and 15 g.",,4,0000-00-00,city-lights,0.2,0,0,20,0,1,1,0,https://canbii.com/strains/city-lights,https://www.leafly.com/products/details/edison-cannabis-co-edison-city-lights?q=city-lights&cat=product https://www.leafly.com/products/details/edison-cannabis-co-edison-city-lights-pre-roll?q=city-lights&cat=product,https://lift.co/strains/edison-cannabis-co-city-lights,
